epoch[s],latitude[deg],logitude[deg],speed[m/s]
1699208100.02,32.870202,-117.214285,0.0
1699208100.08,32.870202,-117.214285,0.0
1699208100.13,32.870202,-117.214285,0.0
1699208100.18,32.870202,-117.214285,0.0
1699208100.24,32.870202,-117.214285,0.0
1699208100.29,32.870202,-117.214285,0.0
1699208100.34,32.870202,-117.214285,0.0
1699208100.4,32.870202,-117.214285,0.0
1699208100.45,32.870202,-117.214285,0.0
1699208100.5,32.870202,-117.214285,0.0
1699208100.56,32.870202,-117.214285,0.0
1699208100.61,32.870202,-117.214285,0.0
1699208100.66,32.870202,-117.214285,0.0
1699208100.72,32.870202,-117.214285,0.0
1699208100.77,32.870202,-117.214285,0.0
1699208100.82,32.870202,-117.214285,0.0
1699208100.88,32.870202,-117.214285,0.0
1699208100.93,32.870202,-117.214285,0.0
1699208100.98,32.870202,-117.214285,0.0
1699208101.04,32.870202,-117.214285,0.0
1699208101.09,32.870202,-117.214285,0.0
1699208101.14,32.870202,-117.214285,0.0
1699208101.19,32.870202,-117.214285,0.0
1699208101.25,32.870202,-117.214285,0.0
1699208101.3,32.870202,-117.214285,0.0
1699208101.35,32.870202,-117.214285,0.0
1699208101.41,32.870202,-117.214285,0.0
1699208101.46,32.870202,-117.214285,0.0
1699208101.51,32.870202,-117.214285,0.0
1699208101.56,32.870202,-117.214285,0.0
1699208101.62,32.870202,-117.214285,0.0
1699208101.67,32.870202,-117.214285,0.0
1699208101.72,32.870202,-117.214285,0.0
1699208101.78,32.870202,-117.214285,0.0
1699208101.83,32.870202,-117.214285,0.0
1699208101.88,32.870202,-117.214285,0.0
1699208101.93,32.870202,-117.214285,0.0
1699208101.99,32.870202,-117.214285,0.0
1699208102.04,32.870202,-117.214285,0.0
1699208102.09,32.870202,-117.214285,0.0
1699208102.15,32.870202,-117.214285,0.0
1699208102.2,32.870202,-117.214285,0.0
1699208102.25,32.870202,-117.214285,0.0
1699208102.31,32.870202,-117.214285,0.0
1699208102.36,32.870202,-117.214285,0.0
1699208102.42,32.870202,-117.214285,0.0
1699208102.47,32.870202,-117.214285,0.0
1699208102.52,32.870202,-117.214285,0.0
1699208102.57,32.870202,-117.214285,0.0
1699208102.63,32.870202,-117.214285,0.0
1699208102.68,32.870202,-117.214285,0.0
1699208102.73,32.870202,-117.214285,0.0
1699208102.79,32.870202,-117.214285,0.0
1699208102.84,32.870202,-117.214285,0.0
1699208102.89,32.870202,-117.214285,0.0
1699208102.95,32.870202,-117.214285,0.0
1699208103.0,32.870202,-117.214285,0.0
1699208103.05,32.870202,-117.214285,0.0
1699208103.11,32.870202,-117.214285,0.0
1699208103.16,32.870202,-117.214285,0.0
1699208103.21,32.870202,-117.214285,0.0
1699208103.27,32.870202,-117.214285,0.0
1699208103.32,32.870202,-117.214285,0.0
1699208103.37,32.870202,-117.214285,0.0
1699208103.43,32.870202,-117.214285,0.0
1699208103.48,32.870202,-117.214285,0.0
1699208103.53,32.870202,-117.214285,0.0
1699208103.59,32.870202,-117.214285,0.0
1699208103.64,32.870202,-117.214285,0.0
1699208103.69,32.870202,-117.214285,0.0
1699208103.75,32.870202,-117.214285,0.0
1699208103.81,32.870202,-117.214285,0.0
1699208103.86,32.870202,-117.214285,0.0
1699208103.91,32.870202,-117.214285,0.0
1699208103.97,32.870202,-117.214285,0.0
1699208104.02,32.870202,-117.214285,0.0
1699208104.07,32.870202,-117.214285,0.0
1699208104.13,32.870202,-117.214285,0.0
1699208104.18,32.870202,-117.214285,0.0
1699208104.23,32.870202,-117.214285,0.0
1699208104.29,32.870202,-117.214285,0.0
1699208104.34,32.870202,-117.214285,0.0
1699208104.39,32.870202,-117.214285,0.0
1699208104.44,32.870202,-117.214285,0.0
1699208104.5,32.870202,-117.214285,0.0
1699208104.55,32.870202,-117.214285,0.0
1699208104.61,32.870202,-117.214285,0.0
1699208104.66,32.870202,-117.214285,0.0
1699208104.71,32.870202,-117.214285,0.0
1699208104.77,32.870202,-117.214285,0.0
1699208104.82,32.870202,-117.214285,0.0
1699208104.87,32.870202,-117.214285,0.0
1699208104.92,32.870202,-117.214285,0.0
1699208104.98,32.870202,-117.214285,0.0
1699208105.03,32.870202,-117.214285,0.0
1699208105.08,32.870202,-117.214285,0.0
1699208105.14,32.870202,-117.214285,0.0
1699208105.19,32.870202,-117.214285,0.0
1699208105.24,32.870202,-117.214285,0.0
1699208105.3,32.870202,-117.214285,0.0
1699208105.35,32.870202,-117.214285,0.0
1699208105.4,32.870202,-117.214285,0.0
1699208105.46,32.870202,-117.214285,0.0
1699208105.51,32.870202,-117.214285,0.0
1699208105.56,32.870202,-117.214285,0.0
1699208105.62,32.870202,-117.214285,0.0
1699208105.67,32.870202,-117.214285,0.0
1699208105.72,32.870202,-117.214285,0.0
1699208105.78,32.870202,-117.214285,0.0
1699208105.83,32.870202,-117.214285,0.0
1699208105.88,32.870202,-117.214285,0.0
1699208105.94,32.870202,-117.214285,0.0
1699208105.99,32.870202,-117.214285,0.0
1699208106.04,32.870202,-117.214285,0.0
1699208106.1,32.870202,-117.214285,0.0
1699208106.15,32.870202,-117.214285,0.0
1699208106.2,32.870202,-117.214285,0.0
1699208106.26,32.870202,-117.214285,0.0
1699208106.31,32.870202,-117.214285,0.0
1699208106.36,32.870202,-117.214285,0.0
1699208106.42,32.870202,-117.214285,0.0
1699208106.47,32.870202,-117.214285,0.0
1699208106.52,32.870202,-117.214285,0.0
1699208106.58,32.870202,-117.214285,0.0
1699208106.63,32.870202,-117.214285,0.0
1699208106.68,32.870202,-117.214285,0.0
1699208106.74,32.870202,-117.214285,0.0
1699208106.79,32.870202,-117.214285,0.0
1699208106.84,32.870202,-117.214285,0.0
1699208106.9,32.870202,-117.214285,0.0
1699208106.95,32.870202,-117.214285,0.0
1699208107.0,32.870202,-117.214285,0.0
1699208107.06,32.870202,-117.214285,0.0
1699208107.11,32.870202,-117.214285,0.0
1699208107.16,32.870202,-117.214285,0.0
1699208107.22,32.870202,-117.214285,0.0
1699208107.27,32.870202,-117.214285,0.0
1699208107.32,32.870202,-117.214285,0.0
1699208107.38,32.870202,-117.214285,0.0
1699208107.43,32.870202,-117.214285,0.0
1699208107.48,32.870202,-117.214285,0.0
1699208107.54,32.870202,-117.214285,0.0
1699208107.59,32.870202,-117.214285,0.0
1699208107.64,32.870202,-117.214285,0.0
1699208107.7,32.870202,-117.214285,0.0
1699208107.75,32.870202,-117.214285,0.0
1699208107.8,32.870202,-117.214285,0.0
1699208107.86,32.870202,-117.214285,0.0
1699208107.91,32.870202,-117.214285,0.0
1699208107.96,32.870202,-117.214285,0.0
1699208108.02,32.870202,-117.214285,0.0
1699208108.07,32.870202,-117.214285,0.0
1699208108.12,32.870202,-117.214285,0.0
1699208108.18,32.870202,-117.214285,0.0
1699208108.23,32.870202,-117.214285,0.0
1699208108.28,32.870202,-117.214285,0.0
1699208108.34,32.870202,-117.214285,0.0
1699208108.39,32.870202,-117.214285,0.0
1699208108.44,32.870202,-117.214285,0.0
1699208108.5,32.870202,-117.214285,0.0
1699208108.55,32.870202,-117.214285,0.0
1699208108.6,32.870202,-117.214285,0.0
1699208108.66,32.870202,-117.214285,0.0
1699208108.71,32.870202,-117.214285,0.0
1699208108.77,32.870202,-117.214285,0.0
1699208108.82,32.870202,-117.214285,0.0
1699208108.87,32.870202,-117.214285,0.0
1699208108.93,32.870202,-117.214285,0.0
1699208108.98,32.870202,-117.214285,0.0
1699208109.03,32.870202,-117.214285,0.0
1699208109.09,32.870202,-117.214285,0.0
1699208109.14,32.870202,-117.214285,0.0
1699208109.19,32.870202,-117.214285,0.0
1699208109.25,32.870202,-117.214285,0.0
1699208109.3,32.870202,-117.214285,0.0
1699208109.35,32.870202,-117.214285,0.0
1699208109.41,32.870202,-117.214285,0.0
1699208109.46,32.870202,-117.214285,0.0
1699208109.51,32.870202,-117.214285,0.0
1699208109.57,32.870202,-117.214285,0.0
1699208109.62,32.870202,-117.214285,0.0
1699208109.67,32.870202,-117.214285,0.0
1699208109.73,32.870202,-117.214285,0.0
1699208109.78,32.870202,-117.214285,0.0
1699208109.83,32.870202,-117.214285,0.0
1699208109.89,32.870202,-117.214285,0.0
1699208109.94,32.870202,-117.214285,0.0
1699208109.99,32.870202,-117.214285,0.0
1699208110.05,32.870202,-117.214285,0.0
1699208110.1,32.870202,-117.214285,0.0
1699208110.15,32.870202,-117.214285,0.0
1699208110.21,32.870202,-117.214285,0.0
1699208110.26,32.870202,-117.214285,0.0
1699208110.31,32.870202,-117.214285,0.0
1699208110.37,32.870202,-117.214285,0.0
1699208110.42,32.870202,-117.214285,0.0
1699208110.47,32.870202,-117.214285,0.0
1699208110.53,32.870202,-117.214285,0.0
1699208110.58,32.870202,-117.214285,0.0
1699208110.63,32.870202,-117.214285,0.0
1699208110.68,32.870202,-117.214285,0.0
1699208110.74,32.870202,-117.214285,0.0
1699208110.79,32.870202,-117.214285,0.0
1699208110.84,32.870202,-117.214285,0.0
1699208110.9,32.870202,-117.214285,0.0
1699208110.95,32.870202,-117.214285,0.0
1699208111.01,32.870202,-117.214285,0.0
1699208111.06,32.870202,-117.214285,0.0
1699208111.11,32.870202,-117.214285,0.0
1699208111.17,32.870202,-117.214285,0.0
1699208111.22,32.870202,-117.214285,0.0
1699208111.27,32.870202,-117.214285,0.0
1699208111.33,32.870202,-117.214285,0.0
1699208111.38,32.870202,-117.214285,0.0
1699208111.43,32.870202,-117.214285,0.0
1699208111.48,32.870202,-117.214285,0.0
1699208111.54,32.870202,-117.214285,0.0
1699208111.59,32.870202,-117.214285,0.0
1699208111.64,32.870202,-117.214285,0.0
1699208111.7,32.870202,-117.214285,0.0
1699208111.75,32.870202,-117.214285,0.0
1699208111.8,32.870202,-117.214285,0.0
1699208111.86,32.870202,-117.214285,0.0
1699208111.91,32.870202,-117.214285,0.0
1699208111.97,32.870202,-117.214285,0.0
1699208112.02,32.870202,-117.214285,0.0
1699208112.07,32.870202,-117.214285,0.0
1699208112.12,32.870202,-117.214285,0.0
1699208112.18,32.870202,-117.214285,0.0
1699208112.23,32.870202,-117.214285,0.0
1699208112.28,32.870202,-117.214285,0.0
1699208112.34,32.870202,-117.214285,0.0
1699208112.39,32.870202,-117.214285,0.0
1699208112.44,32.870202,-117.214285,0.0
1699208112.5,32.870202,-117.214285,0.0
1699208112.55,32.870202,-117.214285,0.0
1699208112.6,32.870202,-117.214285,0.0
1699208112.66,32.870202,-117.214285,0.0
1699208112.71,32.870202,-117.214285,0.0
1699208112.77,32.870202,-117.214285,0.0
1699208112.82,32.870202,-117.214285,0.0
1699208112.87,32.870202,-117.214285,0.0
1699208112.92,32.870202,-117.214285,0.0
1699208112.98,32.870202,-117.214285,0.0
1699208113.03,32.870202,-117.214285,0.0
1699208113.08,32.870202,-117.214285,0.0
1699208113.14,32.870202,-117.214285,0.0
1699208113.19,32.870202,-117.214285,0.0
1699208113.24,32.870202,-117.214285,0.0
1699208113.3,32.870202,-117.214285,0.0
1699208113.35,32.870202,-117.214285,0.0
1699208113.4,32.870202,-117.214285,0.0
1699208113.46,32.870202,-117.214285,0.0
1699208113.51,32.870202,-117.214285,0.0
1699208113.56,32.870202,-117.214285,0.0
1699208113.62,32.870202,-117.214285,0.0
1699208113.67,32.870202,-117.214285,0.0
1699208113.72,32.870202,-117.214285,0.0
1699208113.78,32.870202,-117.214285,0.0
1699208113.84,32.870202,-117.214285,0.0
1699208113.89,32.870202,-117.214285,0.0
1699208113.94,32.870202,-117.214285,0.0
1699208114.0,32.870202,-117.214285,0.0
1699208114.05,32.870202,-117.214285,0.0
1699208114.1,32.870202,-117.214285,0.0
1699208114.16,32.870202,-117.214285,0.0
1699208114.21,32.870202,-117.214285,0.0
1699208114.26,32.870202,-117.214285,0.0
1699208114.32,32.870202,-117.214285,0.0
1699208114.37,32.870202,-117.214285,0.0
1699208114.42,32.870202,-117.214285,0.0
1699208114.48,32.870202,-117.214285,0.0
1699208114.53,32.870202,-117.214285,0.0
1699208114.58,32.870202,-117.214285,0.0
1699208114.64,32.870202,-117.214285,0.0
1699208114.69,32.870202,-117.214285,0.0
1699208114.74,32.870202,-117.214285,0.0
1699208114.8,32.870202,-117.214285,0.0
1699208114.85,32.870202,-117.214285,0.0
1699208114.9,32.870202,-117.214285,0.0
1699208114.96,32.870202,-117.214285,0.0
1699208115.01,32.870202,-117.214285,0.0
1699208115.06,32.870202,-117.214285,0.0
1699208115.12,32.870202,-117.214285,0.0
1699208115.17,32.870202,-117.214285,0.0
1699208115.22,32.870202,-117.214285,0.0
1699208115.28,32.870202,-117.214285,0.0
1699208115.33,32.870202,-117.214285,0.0
1699208115.38,32.870202,-117.214285,0.0
1699208115.44,32.870202,-117.214285,0.0
1699208115.49,32.870202,-117.214285,0.0
1699208115.54,32.870202,-117.214285,0.0
1699208115.6,32.870202,-117.214285,0.0
1699208115.65,32.870202,-117.214285,0.0
1699208115.7,32.870202,-117.214285,0.0
1699208115.76,32.870202,-117.214285,0.0
1699208115.81,32.870202,-117.214285,0.0
1699208115.86,32.870202,-117.214285,0.0
1699208115.91,32.870202,-117.214285,0.0
1699208115.97,32.870202,-117.214285,0.0
1699208116.02,32.870202,-117.214285,0.0
1699208116.08,32.870202,-117.214285,0.0
1699208116.13,32.870202,-117.214285,0.0
1699208116.18,32.870202,-117.214285,0.0
1699208116.23,32.870202,-117.214285,0.0
1699208116.29,32.870202,-117.214285,0.0
1699208116.34,32.870202,-117.214285,0.0
1699208116.39,32.870202,-117.214285,0.0
1699208116.45,32.870202,-117.214285,0.0
1699208116.5,32.870202,-117.214285,0.0
1699208116.55,32.870202,-117.214285,0.0
1699208116.61,32.870202,-117.214285,0.0
1699208116.66,32.870202,-117.214285,0.0
1699208116.71,32.870202,-117.214285,0.0
1699208116.77,32.870202,-117.214285,0.0
1699208116.82,32.870202,-117.214285,0.0
1699208116.87,32.870202,-117.214285,0.0
1699208116.93,32.870202,-117.214285,0.0
1699208116.98,32.870202,-117.214285,0.0
1699208117.03,32.870202,-117.214285,0.0
1699208117.09,32.870202,-117.214285,0.0
1699208117.14,32.870202,-117.214285,0.0
1699208117.19,32.870202,-117.214285,0.0
1699208117.25,32.870202,-117.214285,0.0
1699208117.3,32.870202,-117.214285,0.0
1699208117.35,32.870202,-117.214285,0.0
1699208117.41,32.870202,-117.214285,0.0
1699208117.46,32.870202,-117.214285,0.0
1699208117.51,32.870202,-117.214285,0.0
1699208117.57,32.870202,-117.214285,0.0
1699208117.62,32.870202,-117.214285,0.0
1699208117.67,32.870202,-117.214285,0.0
1699208117.73,32.870202,-117.214285,0.0
1699208117.78,32.870202,-117.214285,0.0
1699208117.83,32.870202,-117.214285,0.0
1699208117.89,32.870202,-117.214285,0.0
1699208117.94,32.870202,-117.214285,0.0
1699208117.99,32.870202,-117.214285,0.0
1699208118.05,32.870202,-117.214285,0.0
1699208118.1,32.870202,-117.214285,0.0
1699208118.15,32.870202,-117.214285,0.0
1699208118.21,32.870202,-117.214285,0.0
1699208118.26,32.870202,-117.214285,0.0
1699208118.31,32.870202,-117.214285,0.0
1699208118.37,32.870202,-117.214285,0.0
1699208118.42,32.870202,-117.214285,0.0
1699208118.47,32.870202,-117.214285,0.0
1699208118.53,32.870202,-117.214285,0.0
1699208118.58,32.870202,-117.214285,0.0
1699208118.63,32.870202,-117.214285,0.0
1699208118.69,32.870202,-117.214285,0.0
1699208118.74,32.870202,-117.214285,0.0
1699208118.8,32.870202,-117.214285,0.0
1699208118.85,32.870202,-117.214285,0.0
1699208118.9,32.870202,-117.214285,0.0
1699208118.96,32.870202,-117.214285,0.0
1699208119.01,32.870202,-117.214285,0.0
1699208119.06,32.870202,-117.214285,0.0
1699208119.12,32.870202,-117.214285,0.0
1699208119.17,32.870202,-117.214285,0.0
1699208119.22,32.870202,-117.214285,0.0
1699208119.28,32.870202,-117.214285,0.0
1699208119.33,32.870202,-117.214285,0.0
1699208119.38,32.870202,-117.214285,0.0
1699208119.44,32.870202,-117.214285,0.0
1699208119.49,32.870202,-117.214285,0.0
1699208119.54,32.870202,-117.214285,0.0
1699208119.6,32.870202,-117.214285,0.0
1699208119.65,32.870202,-117.214285,0.0
1699208119.7,32.870202,-117.214285,0.0
1699208119.76,32.870202,-117.214285,0.0
1699208119.81,32.870202,-117.214285,0.0
1699208119.86,32.870202,-117.214285,0.0
1699208119.92,32.870202,-117.214285,0.0
1699208119.97,32.870202,-117.214285,0.0
1699208120.02,32.870202,-117.214285,0.0
1699208120.08,32.870202,-117.214285,0.0
