tm(s),latitude(deg),logitude(deg),speed(m/s)
1701562980.16,32.870086,-117.214271,0.0
1701562980.37,32.870086,-117.214271,0.0
1701562980.57,32.870086,-117.214271,0.0
1701562980.77,32.870086,-117.214271,0.0
1701562980.97,32.870086,-117.214271,0.0
1701562981.16,32.870086,-117.214271,0.0
1701562981.35,32.870086,-117.214271,0.0
1701562981.47,32.870086,-117.214271,0.005144456333854638
1701562981.67,32.870086,-117.214271,0.005144456333854638
1701562981.87,32.870088,-117.214271,0.005144456333854638
1701562982.06,32.870088,-117.214271,0.0
1701562982.26,32.870088,-117.21427,0.0
1701562982.47,32.870088,-117.21427,0.0
1701562982.68,32.870088,-117.21427,0.005144456333854638
1701562982.87,32.870088,-117.21427,0.005144456333854638
1701562983.07,32.870088,-117.21427,0.0
1701562983.27,32.870088,-117.21427,0.0
1701562983.47,32.870088,-117.21427,0.0
1701562983.67,32.870088,-117.21427,0.0
1701562983.87,32.870088,-117.21427,0.0
1701562984.07,32.870088,-117.214271,0.0
1701562984.27,32.870088,-117.214271,0.005144456333854638
1701562984.47,32.870088,-117.214271,0.0
1701562984.67,32.870088,-117.214271,0.0
1701562984.87,32.870088,-117.214271,0.0
1701562985.07,32.870088,-117.214271,0.0
1701562985.27,32.870088,-117.214271,0.0
1701562985.47,32.870088,-117.214271,0.0
1701562985.67,32.870088,-117.214271,0.0
1701562985.86,32.870088,-117.214271,0.0
1701562986.06,32.870088,-117.214271,0.0
1701562986.27,32.870088,-117.214271,0.0
1701562986.47,32.870088,-117.214271,0.0
1701562986.66,32.870088,-117.214271,0.0
1701562986.86,32.870088,-117.214271,0.0
1701562987.06,32.870088,-117.214273,0.0
1701562987.26,32.870088,-117.214273,0.0
1701562987.47,32.870088,-117.214273,0.0
1701562987.67,32.870088,-117.214273,0.0
1701562987.87,32.870088,-117.214273,0.0
1701562988.07,32.870086,-117.214273,0.0
1701562988.27,32.870086,-117.214273,0.0
1701562988.47,32.870086,-117.214273,0.0
1701562988.67,32.870086,-117.214273,0.0
1701562988.87,32.870086,-117.214273,0.005144456333854638
1701562989.06,32.870086,-117.214273,0.0
1701562989.26,32.870086,-117.214273,0.0
1701562989.47,32.870086,-117.214273,0.0
1701562989.67,32.870086,-117.214275,0.0
1701562989.87,32.870085,-117.214275,0.0
1701562990.07,32.870085,-117.214275,0.0
1701562990.27,32.870085,-117.214275,0.0
1701562990.47,32.870085,-117.214275,0.0
1701562990.67,32.870085,-117.214275,0.005144456333854638
1701562990.85,32.870085,-117.214275,0.0
1701562990.95,32.870085,-117.214275,0.0
1701562991.05,32.870085,-117.214275,0.0
1701562991.15,32.870085,-117.214275,0.0
1701562991.25,32.870085,-117.214276,0.0
1701562991.35,32.870085,-117.214276,0.005144456333854638
1701562991.45,32.870085,-117.214276,0.0
1701562991.55,32.870085,-117.214276,0.0
1701562991.67,32.870085,-117.214276,0.0
1701562991.86,32.870083,-117.214276,0.010288912667709276
1701562992.06,32.870083,-117.214276,0.005144456333854638
1701562992.25,32.870083,-117.214276,0.0
1701562992.35,32.870083,-117.214276,0.0
1701562992.45,32.870083,-117.214276,0.0
1701562992.64,32.870083,-117.214278,0.0
1701562992.75,32.870083,-117.214278,0.0
1701562992.85,32.870083,-117.214278,0.0
1701562992.95,32.870083,-117.214278,0.0
1701562993.05,32.870083,-117.214278,0.0
1701562993.15,32.870083,-117.214278,0.0
1701562993.25,32.870083,-117.214278,0.0
1701562993.35,32.870083,-117.214278,0.0
1701562993.45,32.870083,-117.214278,0.0
1701562993.55,32.870083,-117.214278,0.0
1701562993.65,32.870083,-117.214278,0.0
1701562993.75,32.870083,-117.214278,0.0
1701562993.85,32.870083,-117.214278,0.0
1701562993.95,32.870083,-117.214278,0.0
1701562994.05,32.870083,-117.214278,0.0
1701562994.15,32.870083,-117.214278,0.0
1701562994.25,32.870083,-117.214278,0.0
1701562994.35,32.870083,-117.214278,0.0
1701562994.45,32.870083,-117.21428,0.0
1701562994.55,32.870083,-117.21428,0.0
1701562994.65,32.870083,-117.21428,0.0
1701562994.74,32.870083,-117.21428,0.0
1701562994.84,32.870083,-117.21428,0.0
1701562994.94,32.870083,-117.21428,0.0
1701562995.04,32.870083,-117.21428,0.0
1701562995.14,32.870083,-117.21428,0.0
1701562995.24,32.870083,-117.21428,0.0
1701562995.34,32.870083,-117.21428,0.0
1701562995.44,32.870083,-117.21428,0.0
1701562995.55,32.870083,-117.21428,0.0
1701562995.64,32.870083,-117.21428,0.0
1701562995.75,32.870083,-117.21428,0.0
1701562995.84,32.870083,-117.21428,0.0
1701562995.95,32.870083,-117.21428,0.0
1701562996.05,32.870083,-117.21428,0.0
1701562996.15,32.870083,-117.21428,0.0
1701562996.25,32.870083,-117.21428,0.0
1701562996.35,32.870083,-117.21428,0.0
1701562996.45,32.870083,-117.21428,0.0
1701562996.55,32.870083,-117.21428,0.0
1701562996.65,32.870083,-117.21428,0.0
1701562996.75,32.870083,-117.21428,0.0
1701562996.85,32.870083,-117.21428,0.0
1701562996.95,32.870083,-117.21428,0.0
1701562997.05,32.870083,-117.21428,0.0
1701562997.15,32.870083,-117.21428,0.0
1701562997.25,32.870083,-117.21428,0.0
1701562997.35,32.870083,-117.21428,0.0
1701562997.45,32.870083,-117.21428,0.0
1701562997.55,32.870081,-117.21428,0.0
1701562997.65,32.870081,-117.21428,0.0
1701562997.75,32.870081,-117.21428,0.0
1701562997.85,32.870081,-117.21428,0.0
1701562997.95,32.870081,-117.21428,0.0
1701562998.05,32.870081,-117.21428,0.0
1701562998.15,32.870081,-117.21428,0.0
1701562998.25,32.870081,-117.21428,0.0
1701562998.35,32.870081,-117.21428,0.0
1701562998.45,32.870081,-117.21428,0.0
1701562998.55,32.870081,-117.21428,0.0
1701562998.65,32.870081,-117.21428,0.0
1701562998.74,32.870081,-117.214278,0.0
1701562998.84,32.870081,-117.214278,0.0
1701562998.94,32.870081,-117.214278,0.0
1701562999.04,32.870081,-117.214278,0.0
1701562999.14,32.870081,-117.214278,0.0
1701562999.24,32.870081,-117.214278,0.0
1701562999.34,32.870081,-117.214278,0.0
1701562999.44,32.870081,-117.214278,0.0
1701562999.54,32.870081,-117.214278,0.0
1701562999.64,32.870081,-117.214278,0.0
1701562999.74,32.870081,-117.214278,0.0
1701562999.84,32.87008,-117.214278,0.0
1701562999.94,32.87008,-117.214278,0.0
1701563000.05,32.87008,-117.214278,0.0
1701563000.15,32.87008,-117.214278,0.0
1701563000.25,32.87008,-117.214278,0.0
1701563000.35,32.87008,-117.214278,0.0
1701563000.45,32.87008,-117.214278,0.0
1701563000.55,32.87008,-117.214278,0.0
1701563000.65,32.87008,-117.214276,0.0
1701563000.75,32.87008,-117.214276,0.0
1701563000.85,32.87008,-117.214276,0.0
1701563000.95,32.87008,-117.214276,0.0
1701563001.05,32.87008,-117.214276,0.0
1701563001.14,32.87008,-117.214276,0.0
1701563001.24,32.87008,-117.214276,0.0
1701563001.34,32.87008,-117.214276,0.0
1701563001.44,32.87008,-117.214276,0.0
1701563001.55,32.87008,-117.214276,0.0
1701563001.65,32.87008,-117.214276,0.0
1701563001.75,32.87008,-117.214276,0.0
1701563001.86,32.87008,-117.214276,0.0
1701563002.06,32.87008,-117.214276,0.005144456333854638
1701563002.26,32.87008,-117.214276,0.0
1701563002.46,32.87008,-117.214275,0.0
1701563002.66,32.87008,-117.214275,0.0
1701563002.86,32.87008,-117.214275,0.0
1701563003.06,32.87008,-117.214275,0.0
1701563003.26,32.87008,-117.214275,0.0
1701563003.47,32.87008,-117.214275,0.0
1701563003.67,32.87008,-117.214275,0.0
1701563003.87,32.87008,-117.214275,0.0
1701563004.07,32.87008,-117.214275,0.0
1701563004.27,32.87008,-117.214275,0.0
1701563004.47,32.87008,-117.214275,0.0
1701563004.67,32.87008,-117.214275,0.0
1701563004.86,32.87008,-117.214275,0.0
1701563005.06,32.870078,-117.214275,0.0
1701563005.26,32.870078,-117.214273,0.0
1701563005.47,32.870078,-117.214273,0.0
1701563005.67,32.870078,-117.214273,0.0
1701563005.86,32.870078,-117.214273,0.0
1701563006.06,32.870078,-117.214273,0.0
1701563006.26,32.870078,-117.214273,0.0
1701563006.47,32.870078,-117.214273,0.0
1701563006.67,32.870078,-117.214273,0.0
1701563006.86,32.870078,-117.214273,0.0
1701563007.06,32.870078,-117.214271,0.0
1701563007.27,32.870078,-117.214271,0.0
1701563007.46,32.870078,-117.214271,0.0
1701563007.66,32.870078,-117.214271,0.0
1701563007.86,32.870078,-117.214271,0.0
1701563008.05,32.870078,-117.214271,0.0
1701563008.16,32.870076,-117.214271,0.005144456333854638
1701563008.26,32.870076,-117.214271,0.0
1701563008.35,32.870076,-117.214271,0.0
1701563008.45,32.870076,-117.21427,0.0
1701563008.55,32.870076,-117.21427,0.0
1701563008.65,32.870076,-117.21427,0.0
1701563008.75,32.870076,-117.21427,0.0
1701563008.85,32.870076,-117.21427,0.0
1701563008.95,32.870076,-117.21427,0.0
1701563009.05,32.870076,-117.214268,0.0
1701563009.15,32.870076,-117.214268,0.0
1701563009.25,32.870076,-117.214268,0.0
1701563009.36,32.870076,-117.214268,0.0
1701563009.56,32.870076,-117.214268,0.010288912667709276
1701563009.77,32.870076,-117.214268,0.0
1701563009.96,32.870076,-117.214268,0.0
1701563010.16,32.870076,-117.214268,0.0
1701563010.37,32.870076,-117.214266,0.0
1701563010.57,32.870076,-117.214266,0.0
1701563010.76,32.870076,-117.214266,0.0
1701563010.97,32.870076,-117.214266,0.0
1701563011.17,32.870076,-117.214266,0.0
1701563011.37,32.870076,-117.214266,0.0
1701563011.57,32.870076,-117.214266,0.0
1701563011.77,32.870076,-117.214266,0.0
1701563011.96,32.870076,-117.214266,0.0
